Steam ID,Arketipe 1,Arketipe 2,Arketipe 3,Arketipe 4
76561197960269409,0.384033,0.054027,0.561939,0.0
76561197962437769,0.0,0.253432,0.083427,0.66314
76561197977935089,0.258276,0.0,0.462517,0.279207
76561197983588742,0.643435,0.338475,0.0,0.018089
76561197985705149,0.0,0.221462,0.200552,0.577986
76561197986997483,0.202115,0.365651,0.0,0.432234
76561197992783558,0.347981,0.468013,0.184005,0.0
76561197992939661,0.025788,0.0,0.358872,0.61534
76561197996907347,0.03523,0.267354,0.0,0.697416
76561197998383791,0.0,0.22224,0.128984,0.648775
76561198004559773,0.0,0.253857,0.211412,0.534731
76561198006756264,0.576045,0.178477,0.245478,0.0
76561198011778207,0.452664,0.0,0.03153,0.515805
76561198012450682,0.286689,0.0,0.403122,0.310189
76561198037222425,0.306673,0.320536,0.0,0.372791
76561198037246903,0.372335,0.285413,0.342252,0.0
76561198040729539,0.320498,0.305611,0.373891,0.0
76561198042114922,0.0,0.106053,0.754922,0.139025
76561198043040051,0.0,0.179057,0.437586,0.383357
76561198046731438,0.193826,0.0,0.650796,0.155378
76561198049611174,0.0,0.198323,0.29934,0.502337
76561198061669144,0.100875,0.0,0.058326,0.840798
76561198064055378,0.205039,0.0,0.388315,0.406646
76561198064800033,0.330518,0.45231,0.217172,0.0
76561198068123705,0.01769,0.235692,0.0,0.746618
76561198088342032,0.215742,0.404036,0.0,0.380223
76561198121696622,0.0,0.193364,0.298571,0.508065
76561198147075448,0.098733,0.360378,0.0,0.54089
76561198151246013,0.321551,0.187925,0.490524,0.0
76561198159956177,0.0,0.336165,0.06428,0.599554
76561198192893105,0.48448,0.10304,0.0,0.41248
76561198201248007,0.0,0.183706,0.155006,0.661287
76561198328154513,0.0,0.142486,0.488427,0.369088
76561198336656213,0.0,0.195575,0.186686,0.617738
76561198354879869,0.322751,0.298082,0.0,0.379167
76561198379680951,0.566574,0.024999,0.0,0.408426
76561198380925613,0.339616,0.0,0.613888,0.046496
76561198397520727,0.218466,0.244802,0.0,0.536732
76561198731493400,0.026718,0.0,0.512493,0.460789
76561198796747013,0.0,0.161816,0.174624,0.663561
76561198826718196,0.293172,0.456299,0.250529,0.0
76561198885069362,0.325142,0.432413,0.242445,0.0
76561199027285610,0.090794,0.345654,0.0,0.563552
76561199131606199,0.31072,0.324165,0.365115,0.0
